 -180 5.417710e-01
 -175 4.759726e-01
 -170 5.465764e-01
 -165 6.380066e-01
 -160 3.145337e-01
 -155 9.984023e-02
 -150 0.000000e+00
 -145 1.177360e-03
 -140 1.089166e-01
 -135 2.757703e-01
 -130 5.027268e-01
 -125 7.654262e-01
 -120 1.021027e+00
 -115 1.285291e+00
 -110 1.570213e+00
 -105 1.836478e+00
 -100 2.069983e+00
  -95 2.278408e+00
  -90 2.448003e+00
  -85 2.578615e+00
  -80 2.678500e+00
  -75 2.762177e+00
  -70 2.823406e+00
  -65 2.869889e+00
  -60 2.933629e+00
  -55 3.006178e+00
  -50 3.094647e+00
  -45 3.251767e+00
  -40 3.465299e+00
  -35 3.722865e+00
  -30 4.041042e+00
  -25 4.457073e+00
  -20 4.957803e+00
  -15 5.570915e+00
  -10 6.310780e+00
   -5 7.119091e+00
   -0 8.031890e+00
    5 9.058918e+00
   10 9.869330e+00
   15 1.030552e+01
   20 1.079806e+01
   25 1.134426e+01
   30 1.188321e+01
   35 1.243316e+01
   40 1.298679e+01
   45 1.349921e+01
   50 1.398258e+01
   55 1.442928e+01
   60 1.475030e+01
   65 1.497347e+01
   70 1.512423e+01
   75 1.515354e+01
   80 1.503727e+01
   85 1.480432e+01
   90 1.442604e+01
   95 1.390982e+01
  100 1.326599e+01
  105 1.252440e+01
  110 1.168140e+01
  115 1.073842e+01
  120 9.736958e+00
  125 8.696569e+00
  130 7.624662e+00
  135 6.589742e+00
  140 5.588939e+00
  145 4.573801e+00
  150 3.653898e+00
  155 2.843025e+00
  160 2.118851e+00
  165 1.523926e+00
  170 1.081321e+00
  175 7.600546e-01
  180 5.417710e-01
