 0.200 5.235374e+03
 0.300 4.982400e+03
 0.400 4.676481e+03
 0.500 4.357639e+03
 0.600 4.013559e+03
 0.700 3.618590e+03
 0.800 3.261497e+03
 0.900 3.013508e+03
 1.000 2.777227e+03
 1.100 2.527007e+03
 1.200 2.274462e+03
 1.300 2.022466e+03
 1.400 1.774895e+03
 1.500 1.536640e+03
 1.600 1.309190e+03
 1.700 1.089787e+03
 1.800 8.804759e+02
 1.900 6.816879e+02
 2.000 5.006534e+02
 2.020 4.667295e+02
 2.040 4.336201e+02
 2.060 4.012413e+02
 2.080 3.695847e+02
 2.100 3.387788e+02
 2.120 3.087880e+02
 2.140 2.796978e+02
 2.160 2.516548e+02
 2.180 2.246587e+02
 2.200 1.987509e+02
 2.205 1.925351e+02
 2.210 1.864592e+02
 2.215 1.805122e+02
 2.220 1.746730e+02
 2.225 1.689250e+02
 2.230 1.632769e+02
 2.235 1.577344e+02
 2.240 1.522919e+02
 2.245 1.469319e+02
 2.250 1.416700e+02
 2.255 1.364999e+02
 2.260 1.313999e+02
 2.265 1.264116e+02
 2.270 1.215082e+02
 2.275 1.166932e+02
 2.280 1.119699e+02
 2.285 1.073418e+02
 2.290 1.028068e+02
 2.295 9.835183e+01
 2.300 9.398817e+01
 2.305 8.972773e+01
 2.310 8.557116e+01
 2.315 8.151968e+01
 2.320 7.759164e+01
 2.325 7.372882e+01
 2.330 6.995068e+01
 2.335 6.626890e+01
 2.340 6.268947e+01
 2.345 5.921387e+01
 2.350 5.583563e+01
 2.355 5.254668e+01
 2.360 4.936196e+01
 2.365 4.628356e+01
 2.370 4.330192e+01
 2.375 4.042012e+01
 2.380 3.762420e+01
 2.385 3.494533e+01
 2.390 3.241162e+01
 2.395 2.993692e+01
 2.400 2.756958e+01
 2.405 2.531109e+01
 2.410 2.315872e+01
 2.415 2.109196e+01
 2.420 1.912892e+01
 2.425 1.727197e+01
 2.430 1.552131e+01
 2.435 1.389054e+01
 2.440 1.237702e+01
 2.445 1.084947e+01
 2.450 9.323366e+00
 2.455 7.912313e+00
 2.460 6.601147e+00
 2.465 5.403510e+00
 2.470 4.342584e+00
 2.475 3.340785e+00
 2.480 2.565287e+00
 2.485 1.830278e+00
 2.490 1.256203e+00
 2.495 7.851004e-01
 2.500 4.292598e-01
 2.505 1.211455e-01
 2.510 1.177360e-03
 2.515 0.000000e+00
 2.520 1.081406e-01
 2.525 3.512939e-01
 2.530 6.935325e-01
 2.535 1.140061e+00
 2.540 1.674127e+00
 2.545 2.320968e+00
 2.550 3.078728e+00
 2.555 3.836770e+00
 2.560 4.811578e+00
 2.565 5.890115e+00
 2.570 7.051325e+00
 2.575 8.291637e+00
 2.580 9.637424e+00
 2.585 1.108057e+01
 2.590 1.263850e+01
 2.595 1.425469e+01
 2.600 1.595476e+01
 2.605 1.776666e+01
 2.610 1.968756e+01
 2.615 2.169149e+01
 2.620 2.382729e+01
 2.625 2.603002e+01
 2.630 2.833821e+01
 2.635 3.072281e+01
 2.640 3.321838e+01
 2.645 3.582621e+01
 2.650 3.852411e+01
 2.655 4.128810e+01
 2.660 4.415855e+01
 2.665 4.713450e+01
 2.670 5.035984e+01
 2.675 5.357177e+01
 2.680 5.688534e+01
 2.685 6.022706e+01
 2.690 6.367967e+01
 2.695 6.723541e+01
 2.700 7.089818e+01
 2.720 8.632812e+01
 2.740 1.030728e+02
 2.760 1.207600e+02
 2.780 1.393591e+02
 2.800 1.584682e+02
 2.820 1.778574e+02
 2.840 1.979652e+02
 2.860 2.186606e+02
 2.880 2.399506e+02
 2.900 2.617249e+02
 3.000 3.756184e+02
 3.100 4.988150e+02
 3.200 6.343409e+02
 3.300 7.828824e+02
 3.400 9.495987e+02
 3.500 1.129854e+03
 3.600 1.325303e+03
 3.700 1.533397e+03
 3.800 1.749135e+03
 3.900 1.971816e+03
 4.000 2.199298e+03
 4.200 2.655497e+03
 4.400 3.112652e+03
 4.600 3.565534e+03
 4.800 4.003318e+03
 5.000 4.407150e+03
 5.200 4.865562e+03
 5.400 5.358658e+03
 5.600 5.493767e+03
 5.800 5.575744e+03
 6.000 5.610923e+03
 6.200 5.613902e+03
 6.400 5.595538e+03
 6.600 5.561826e+03
 6.800 5.519031e+03
 7.000 5.494042e+03
