 -180 2.223762e+01
 -175 2.030494e+01
 -170 1.851199e+01
 -165 1.686709e+01
 -160 1.537452e+01
 -155 1.401771e+01
 -150 1.279275e+01
 -145 1.168658e+01
 -140 1.070772e+01
 -135 9.836167e+00
 -130 9.064857e+00
 -125 8.397545e+00
 -120 7.817006e+00
 -115 7.321230e+00
 -110 6.918802e+00
 -105 6.597731e+00
 -100 6.348789e+00
  -95 6.181133e+00
  -90 6.090667e+00
  -85 6.075067e+00
  -80 6.145221e+00
  -75 6.321251e+00
  -70 6.600888e+00
  -65 6.984770e+00
  -60 7.499064e+00
  -55 8.144447e+00
  -50 8.910971e+00
  -45 9.844166e+00
  -40 1.094206e+01
  -35 1.217750e+01
  -30 1.357224e+01
  -25 1.515236e+01
  -20 1.689728e+01
  -15 1.879302e+01
  -10 2.086512e+01
   -5 2.309337e+01
   -0 2.544279e+01
    5 2.791387e+01
   10 3.046830e+01
   15 3.306311e+01
   20 3.571263e+01
   25 3.839328e+01
   30 4.102614e+01
   35 4.361569e+01
   40 4.614124e+01
   45 4.848421e+01
   50 5.065090e+01
   55 5.262759e+01
   60 5.433004e+01
   65 5.575477e+01
   70 5.691822e+01
   75 5.775965e+01
   80 5.825297e+01
   85 5.840309e+01
   90 5.822450e+01
   95 5.769728e+01
  100 5.683910e+01
  105 5.569785e+01
  110 5.425512e+01
  115 5.252109e+01
  120 5.060350e+01
  125 4.850073e+01
  130 4.618011e+01
  135 4.376449e+01
  140 4.127209e+01
  145 3.871109e+01
  150 3.617777e+01
  155 3.367192e+01
  160 3.119801e+01
  165 2.882268e+01
  170 2.652153e+01
  175 2.430838e+01
  180 2.223762e+01
